주,품목,단위,가격,전주비,전월비,전년비
2주,시금치(포항초),1단(400g),"3,000", 500, 500, 500
2주,시금치(섬초),1단(400g),"3,500", 500, 500, 500
2주,시금치(일반),1단(400g),"2,000", 0, 500, 500
2주,부추(조선),1단(800g),"5,000", 0, 0," 1,500"
2주,가지,4개(약500g),"3,000", 500, 0, 0
2주,팽이버섯,3봉지(450g),"1,500", 0, 500, 500
2주,양송이버섯,1근(400g),"5,000", 0, 0," 1,000"
2주,표고버섯,1근(400g),"5,000", 0, 0, 0
2주,새송이버섯,1근(400g),"2,000", 0, 0, 0
2주,느타리버섯,1근(400g),"2,000", 0, 0, 0
2주,피망(레드),1근(400g),"2,000", 0, 0," 2,000"
2주,피망(그린),1근(400g),"4,000", 0, 0, 0
2주,파프리카,1개(230g),"1,500", 500, 500, 500
2주,풋고추,1근(400g),"3,000"," 1,000"," 1,000", 0
2주,풋고추(롱그린),1근(400g),"3,000"," 1,000"," 1,000", 0
2주,아삭이 고추(상품),1근(400g),"3,000"," 1,000", 0, 0
2주,청양고추,1근(400g),"3,000"," 2,000"," 1,000"," 1,000"
2주,꽈리고추,1근(400g),"4,000", 0," 1,000"," 1,000"
2주,쑥갓,1단(400g),"2,000", 0, 0, 0
2주,브로콜리,1개(1kg),"1,500", 0, 0, 0
2주,옥수수,10개,"7,000", 0, 0," 2,000"
2주,마늘(깐),1근(400g),"4,000", 0, 0," 1,000"
2주,양배추,1통,"2,000", 0, 0," 1,000"
2주,냉이,1근(400g),"2,000", 0, 0, 0
2주,양상추,1통,"3,000", 0, 0, 0
2주,콩나물,1kg,"2,000", 0, 0, 0
2주,미나리,1kg,"9,000"," 1,000"," 1,000"," 1,000"
2주,쪽파,1kg,"10,000", 0, 0," 2,000"
2주,고사리,1근(400g),"5,000", 0, 0," 1,000"
2주,도라지,1근(400g),"4,000", 0, 0, 0
2주,시래기,1근(400g),"2,000", 0, 0, 0
2주,상추,1근(400g),"4,000"," 1,000", 0, 0
2주,깻잎,1근(400g),"8,000"," 2,000"," 4,000"," 2,000"
2주,취나물,1근(400g),"5,000", 0, 0," 1,000"
2주,케일,1근(400g),"4,000", 0," 1,000", 0
2주,당귀,1근(400g),"8,000", 0, -," 2,000"
2주,생강,1kg,"5,000", 0, 0," 4,000"
2주,양파,1망(2kg),"5,000", 0, 0," 3,000"
2주,고구마,1kg,"7,000", 0, 0, 0
2주,감자,1kg,"3,000", 0, 0," 1,000"
2주,당근,1kg,"2,000", 0, 0, 0
2주,마(장마),1kg(상품),"10,000", 0, 0," 5,000"
2주,더덕(강원도산),400g,"7,000", 0, 0," 3,000"
2주,두부,1모,"2,000", 500, 500, 500
3주,건고추(태양초),1근(600g),"15,000", 0, 0," 7,000"
3주,대파,1단(1kg),"2,000", 500, 0," 3,000"
3주,무,1개(2.5kg),"2,000", 0, 0, 500
3주,총각무,1단(1.5kg),"4,000", 0, 0," 1,000"
3주,배추,1포기(4kg),"4,500", 0, 500, 500
3주,청오이,10개(2kg),"8,000"," 2,000"," 2,000"," 2,000"
3주,백오이,5개(1kg),"4,000", 0, 0, 0
3주,애호박(조선),1개(500g),"2,000", 0, 0, 0
3주,열무,1단(2kg),"6,000", 0," 1,000"," 2,000"
3주,시금치(포항초),1단(400g),"3,000", 0, 500, 500
3주,시금치(섬초),1단(400g),"3,500", 0, 500, 500
3주,시금치(일반),1단(400g),"2,000", 0, 500, 500
3주,부추(조선),1단(800g),"3,000"," 2,000"," 2,000", 0
3주,가지,4개(약500g),"3,000", 0, 0, 500
3주,팽이버섯,3봉지(450g),"1,000", 500, 0, 0
3주,양송이버섯,1근(400g),"5,000", 0, 0," 1,000"
3주,표고버섯,1근(400g),"5,000", 0, 0, 0
3주,새송이버섯,1근(400g),"2,000", 0, 0, 0
3주,느타리버섯,1근(400g),"2,000", 0, 0, 0
3주,피망(레드),1근(400g),"1,500", 500, 500," 2,500"
3주,피망(그린),1근(400g),"4,000", 0, 0, 0
3주,파프리카,1개(230g),"1,500", 0, 500, 500
3주,풋고추,1근(400g),"3,000", 0, 0," 1,000"
3주,풋고추(롱그린),1근(400g),"3,000", 0, 0," 1,000"
3주,아삭이 고추(상품),1근(400g),"3,000", 0, 0, 0
3주,청양고추,1근(400g),"3,000", 0," 1,000"," 1,000"
3주,꽈리고추,1근(400g),"4,000", 0, 500," 1,000"
3주,쑥갓,1단(400g),"2,000", 0, 0, 0
3주,브로콜리,1개(1kg),"1,500", 0, 0, 0
3주,옥수수,10개,"7,000", 0, 0," 2,000"
3주,마늘(깐),1근(400g),"4,000", 0, 0," 1,000"
3주,양배추,1통,"2,000", 0, 0," 1,000"
3주,냉이,1근(400g),"2,000", 0, 0, 0
3주,양상추,1통,"3,000", 0, 0, 0
3주,콩나물,1kg,"2,000", 0, 0, 0
3주,미나리,1kg,"9,000", 0," 1,000"," 2,000"
3주,쪽파,1kg,"10,000", 0, 0," 4,000"
3주,고사리,1근(400g),"5,000", 0, 0," 1,000"
3주,도라지,1근(400g),"4,000", 0, 0, 0
3주,시래기,1근(400g),"2,000", 0, 0, 0
3주,상추,1근(400g),"4,000", 0, 0, 0
3주,깻잎,1근(400g),"8,000", 0," 2,000"," 2,000"
3주,취나물,1근(400g),"5,000", 0, 0," 1,000"
3주,케일,1근(400g),"4,000", 0, 0, 0
3주,당귀,1근(400g),"8,000", 0, 0," 2,000"
3주,생강,1kg,"5,000", 0, 0," 4,000"
3주,양파,1망(2kg),"5,000", 0, 0," 3,000"
3주,고구마,1kg,"7,000", 0, 0, 0
3주,감자,1kg,"3,000", 0, 0," 1,000"
3주,당근,1kg,"2,000", 0, 0, 0
3주,마(장마),1kg(상품),"10,000", 0, 0," 5,000"
3주,더덕(강원도산),400g,"7,000", 0, 0," 3,000"
3주,두부,1모,"2,000", 0, 500, 500
주,품목,단위,가격,전주비,전월비,전년비
-,-,-,축산물,-,-,-
1주,"소고기(등심,A1+)",1근(600g),"70,000", 0, 0," 5,000"
1주,"소고기(양지(국거리),A1+)",1근(600g),"33,000", 0, 0, 0
1주,"소고기(홍두깨,A1+)",1근(600g),"33,000", 0, 0, 0
1주,"소고기(우둔살,A1+)",1근(600g),"30,000", 0, 0, 0
1주,"소고기(살치살,A1+)",1근(600g),"70,000", 0, 0, 0
1주,"소고기(차돌박이,A1+)",1근(600g),"30,000", 0, 0, 0
